#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Ability 1,Ability 2,Hidden Ability,FrenchName,EV HP,EV Attack,EV Defense,EV Sp. Atk,EV Sp. Def,EV Speed
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False,Hyper Cutter,Sand Veil,Immunity,Scorplane,0,0,1,0,0,0
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False,Rock Head,Sturdy,Sheer Force,Steelix,0,0,2,0,0,0
209,Snubbull,Fairy,,300,60,80,50,40,40,30,2,False,Intimidate,Run Away,Rattled,Snubbull,0,1,0,0,0,0
210,Granbull,Fairy,,450,90,120,75,60,60,45,2,False,Intimidate,Quick Feet,Rattled,Granbull,0,2,0,0,0,0
211,Qwilfish,Water,Poison,440,65,95,85,55,55,85,2,False,Poison Point,Swift Swim,Intimidate,Qwilfish,0,1,0,0,0,0
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False,Swarm,Technician,Light Metal,Cizayox,0,2,0,0,0,0
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False,Sturdy,Gluttony,Contrary,Caratroc,0,0,1,0,1,0
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False,Swarm,Guts,Moxie,Scarhino,0,2,0,0,0,0
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False,Inner Focus,Keen Eye,Pickpocket,Farfuret,0,0,0,0,0,1
216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,False,Pickup,Quick Feet,Honey Gather,Teddiursa,0,1,0,0,0,0
217,Ursaring,Normal,,500,90,130,75,75,75,55,2,False,Guts,Quick Feet,Unnerve,Ursaring,0,2,0,0,0,0
218,Slugma,Fire,,250,40,40,40,70,40,20,2,False,Magma Armor,Flame Body,Weak Armor,Limagma,0,0,0,1,0,0
219,Magcargo,Fire,Rock,430,60,50,120,90,80,30,2,False,Magma Armor,Flame Body,Weak Armor,Volcaropod,0,0,2,0,0,0
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,False,Oblivious,Snow Cloak,Thick Fat,Marcacrin,0,1,0,0,0,0
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False,Oblivious,Snow Cloak,Thick Fat,Cochignon,1,1,0,0,0,0
222,Corsola,Water,Rock,410,65,55,95,65,95,35,2,False,Hustle,Natural Cure,Regenerator,Corayon,0,0,1,0,1,0
223,Remoraid,Water,,300,35,65,35,65,35,65,2,False,Hustle,Sniper,Moody,Rémoraid,0,0,0,1,0,0
224,Octillery,Water,,480,75,105,75,105,75,45,2,False,Suction Cups,Sniper,Moody,Octillery,0,1,0,1,0,0
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,False,Vital Spirit,Hustle,Insomnia,Cadoizo,0,0,0,0,0,1
226,Mantine,Water,Flying,485,85,40,70,80,140,70,2,False,Swift Swim,Water Absorb,Water Veil,Démanta,0,0,0,0,2,0
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False,Keen Eye,Sturdy,Weak Armor,Airmure,0,0,2,0,0,0
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,False,Early Bird,Flash Fire,Unnerve,Malosse,0,0,0,1,0,0
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False,Early Bird,Flash Fire,Unnerve,Démolosse,0,0,0,2,0,0
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False,Swift Swim,Sniper,Damp,Hyporoi,0,1,0,1,1,0
231,Phanpy,Ground,,330,90,60,60,40,40,40,2,False,Pickup,,Sand Veil,Phanpy,1,0,0,0,0,0
232,Donphan,Ground,,500,90,120,120,60,60,50,2,False,Sturdy,,Sand Veil,Donphan,0,1,1,0,0,0
233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False,Trace,Download,Analytic,Porygon2,0,0,0,2,0,0
234,Stantler,Normal,,465,73,95,62,85,65,85,2,False,Intimidate,Frisk,Sap Sipper,Cerfrousse,0,1,0,0,0,0
235,Smeargle,Normal,,250,55,20,35,20,45,75,2,False,Own Tempo,Technician,Moody,Queulorior,0,0,0,0,0,1
236,Tyrogue,Fighting,,210,35,35,35,35,35,35,2,False,Guts,Steadfast,Vital Spirit,Debugant,0,1,0,0,0,0
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,False,Intimidate,Technician,Steadfast,Kapoera,0,0,0,0,2,0
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False,Oblivious,Forewarn,Hydration,Lippouti,0,0,0,1,0,0
239,Elekid,Electric,,360,45,63,37,65,55,95,2,False,Static,,Vital Spirit,Élekid,0,0,0,0,0,1
240,Magby,Fire,,365,45,75,37,70,55,83,2,False,Flame Body,,Vital Spirit,Magby,0,0,0,0,0,1
241,Miltank,Normal,,490,95,80,105,40,70,100,2,False,Thick Fat,Scrappy,Sap Sipper,Écrémeuh,0,0,2,0,0,0
242,Blissey,Normal,,540,255,10,10,75,135,55,2,False,Natural Cure,Serene Grace,Healer,Leuphorie,3,0,0,0,0,0
243,Raikou,Electric,,580,90,85,75,115,100,115,2,True,Pressure,,Inner Focus,Raikou,0,0,0,1,0,2
244,Entei,Fire,,580,115,115,85,90,75,100,2,True,Pressure,,Inner Focus,Entei,1,2,0,0,0,0
245,Suicune,Water,,580,100,75,115,90,115,85,2,True,Pressure,,Inner Focus,Suicune,0,0,1,0,2,0
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,False,Guts,,Sand Veil,Embrylex,0,1,0,0,0,0
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,False,Shed Skin,,,Ymphect,0,2,0,0,0,0
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False,Sand Stream,,Unnerve,Tyranocif,0,3,0,0,0,0
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True,Pressure,,Multiscale,Lugia,0,0,0,0,3,0
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,True,Pressure,,Regenerator,Ho-Oh,0,0,0,0,3,0
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False,Natural Cure,,,Celebi,3,0,0,0,0,0
252,Treecko,Grass,,310,40,45,35,65,55,70,3,False,Overgrow,,Unburden,Arcko,0,0,0,0,0,1
253,Grovyle,Grass,,405,50,65,45,85,65,95,3,False,Overgrow,,Unburden,Massko,0,0,0,0,0,2
254,Sceptile,Grass,,530,70,85,65,105,85,120,3,False,Overgrow,,Unburden,Jungko,0,0,0,0,0,3
255,Torchic,Fire,,310,45,60,40,70,50,45,3,False,Blaze,,Speed Boost,Poussifeu,0,0,0,1,0,0
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,False,Blaze,,Speed Boost,Galifeu,0,1,0,1,0,0
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False,Blaze,,Speed Boost,Braségali,0,3,0,0,0,0
258,Mudkip,Water,,310,50,70,50,50,50,40,3,False,Torrent,,Damp,Gobou,0,1,0,0,0,0
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,False,Torrent,,Damp,Flobio,0,2,0,0,0,0
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False,Torrent,,Damp,Laggron,0,3,0,0,0,0
261,Poochyena,Dark,,220,35,55,35,30,30,35,3,False,Run Away,Quick Feet,Rattled,Medhyèna,0,1,0,0,0,0
262,Mightyena,Dark,,420,70,90,70,60,60,70,3,False,Intimidate,Quick Feet,Moxie,Grahyèna,0,2,0,0,0,0
263,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,False,Pickup,Gluttony,Quick Feet,Zigzaton,0,0,0,0,0,1
264,Linoone,Normal,,420,78,70,61,50,61,100,3,False,Pickup,Gluttony,Quick Feet,Linéon,0,0,0,0,0,2
265,Wurmple,Bug,,195,45,45,35,20,30,20,3,False,Shield Dust,,Run Away,Chenipotte,1,0,0,0,0,0
266,Silcoon,Bug,,205,50,35,55,25,25,15,3,False,Shed Skin,,,Armulys,0,0,2,0,0,0
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False,Swarm,,Rivalry,Charmillon,0,0,0,3,0,0
268,Cascoon,Bug,,205,50,35,55,25,25,15,3,False,Shed Skin,,,Blindalys,0,0,2,0,0,0
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False,Shield Dust,,Compound Eyes,Papinox,0,0,0,0,3,0
270,Lotad,Water,Grass,220,40,30,30,40,50,30,3,False,Swift Swim,Rain Dish,Own Tempo,Nénupiot,0,0,0,0,1,0
271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False,Swift Swim,Rain Dish,Own Tempo,Lombre,0,0,0,0,2,0
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False,Swift Swim,Rain Dish,Own Tempo,Ludicolo,0,0,0,0,3,0
273,Seedot,Grass,,220,40,40,50,30,30,30,3,False,Chlorophyll,Early Bird,Pickpocket,Grainipiot,0,0,1,0,0,0
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False,Chlorophyll,Early Bird,Pickpocket,Pifeuil,0,2,0,0,0,0
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,False,Chlorophyll,Wind Rider,Pickpocket,Tengalice,0,3,0,0,0,0
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,False,Guts,,Scrappy,Nirondelle,0,0,0,0,0,1
277,Swellow,Normal,Flying,455,60,85,60,75,50,125,3,False,Guts,,Scrappy,Hélédelle,0,0,0,0,0,2
278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,False,Keen Eye,Hydration,Rain Dish,Goélise,0,0,0,0,0,1
279,Pelipper,Water,Flying,440,60,50,100,95,70,65,3,False,Keen Eye,Drizzle,Rain Dish,Bekipan,0,0,2,0,0,0
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,False,Synchronize,Trace,Telepathy,Tarsal,0,0,0,1,0,0
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,False,Synchronize,Trace,Telepathy,Kirlia,0,0,0,2,0,0
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,False,Synchronize,Trace,Telepathy,Gardevoir,0,0,0,3,0,0
283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,False,Swift Swim,,Rain Dish,Arakdo,0,0,0,0,0,1
284,Masquerain,Bug,Flying,454,70,60,62,100,82,80,3,False,Intimidate,,Unnerve,Maskadra,0,0,0,1,1,0
285,Shroomish,Grass,,295,60,40,60,40,60,35,3,False,Effect Spore,Poison Heal,Quick Feet,Balignon,1,0,0,0,0,0
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False,Effect Spore,Poison Heal,Technician,Chapignon,0,2,0,0,0,0
287,Slakoth,Normal,,280,60,60,60,35,35,30,3,False,Truant,,,Parecool,1,0,0,0,0,0
288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,False,Vital Spirit,,,Vigoroth,0,0,0,0,0,2
289,Slaking,Normal,,670,150,160,100,95,65,100,3,False,Truant,,,Monaflèmit,3,0,0,0,0,0
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,False,Compound Eyes,,Run Away,Ningale,0,0,1,0,0,0
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False,Speed Boost,,Infiltrator,Ninjask,0,0,0,0,0,2
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False,Wonder Guard,,,Munja,2,0,0,0,0,0
293,Whismur,Normal,,240,64,51,23,51,23,28,3,False,Soundproof,,Rattled,Chuchmur,1,0,0,0,0,0
294,Loudred,Normal,,360,84,71,43,71,43,48,3,False,Soundproof,,Scrappy,Ramboum,2,0,0,0,0,0
295,Exploud,Normal,,490,104,91,63,91,73,68,3,False,Soundproof,,Scrappy,Brouhabam,3,0,0,0,0,0
296,Makuhita,Fighting,,237,72,60,30,20,30,25,3,False,Thick Fat,Guts,Sheer Force,Makuhita,1,0,0,0,0,0
297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False,Thick Fat,Guts,Sheer Force,Hariyama,2,0,0,0,0,0
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False,Thick Fat,Huge Power,Sap Sipper,Azurill,1,0,0,0,0,0
299,Nosepass,Rock,,375,30,45,135,45,90,30,3,False,Sturdy,Magnet Pull,Sand Force,Tarinor,0,0,1,0,0,0
300,Skitty,Normal,,260,50,45,45,35,35,50,3,False,Cute Charm,Normalize,Wonder Skin,Skitty,0,0,0,0,0,1
301,Delcatty,Normal,,400,70,65,65,55,55,90,3,False,Cute Charm,Normalize,Wonder Skin,Delcatty,1,0,0,0,0,1
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,False,Keen Eye,Stall,Prankster,Ténéfix,0,1,1,0,0,0
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,False,Hyper Cutter,Intimidate,Sheer Force,Mysdibule,0,1,1,0,0,0
304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,False,Sturdy,Rock Head,Heavy Metal,Galekid,0,0,1,0,0,0
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,False,Sturdy,Rock Head,Heavy Metal,Galegon,0,0,2,0,0,0
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,False,Sturdy,Rock Head,Heavy Metal,Galeking,0,0,3,0,0,0
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,False,Pure Power,,Telepathy,Méditikka,0,0,0,0,0,1
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,False,Pure Power,,Telepathy,Charmina,0,0,0,0,0,2
309,Electrike,Electric,,295,40,45,40,65,40,65,3,False,Static,Lightning Rod,Minus,Dynavolt,0,0,0,0,0,1
310,Manectric,Electric,,475,70,75,60,105,60,105,3,False,Static,Lightning Rod,Minus,Élecsprint,0,0,0,0,0,2
311,Plusle,Electric,,405,60,50,40,85,75,95,3,False,Plus,,Lightning Rod,Posipi,0,0,0,0,0,1
312,Minun,Electric,,405,60,40,50,75,85,95,3,False,Minus,,Volt Absorb,Négapi,0,0,0,0,0,1
313,Volbeat,Bug,,430,65,73,75,47,85,85,3,False,Illuminate,Swarm,Prankster,Muciole,0,0,0,0,0,1
314,Illumise,Bug,,430,65,47,75,73,85,85,3,False,Oblivious,Tinted Lens,Prankster,Lumivole,0,0,0,0,0,1
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,False,Natural Cure,Poison Point,Leaf Guard,Rosélia,0,0,0,2,0,0
316,Gulpin,Poison,,302,70,43,53,43,53,40,3,False,Liquid Ooze,Sticky Hold,Gluttony,Gloupti,1,0,0,0,0,0
317,Swalot,Poison,,467,100,73,83,73,83,55,3,False,Liquid Ooze,Sticky Hold,Gluttony,Avaltout,2,0,0,0,0,0
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,False,Rough Skin,,Speed Boost,Carvanha,0,1,0,0,0,0
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,False,Rough Skin,,Speed Boost,Sharpedo,0,2,0,0,0,0
320,Wailmer,Water,,400,130,70,35,70,35,60,3,False,Water Veil,Oblivious,Pressure,Wailmer,1,0,0,0,0,0
321,Wailord,Water,,500,170,90,45,90,45,60,3,False,Water Veil,Oblivious,Pressure,Wailord,2,0,0,0,0,0
322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,False,Oblivious,Simple,Own Tempo,Chamallot,0,0,0,1,0,0
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,False,Magma Armor,Solid Rock,Anger Point,Camérupt,0,1,0,1,0,0
324,Torkoal,Fire,,470,70,85,140,85,70,20,3,False,White Smoke,Drought,Shell Armor,Chartor,0,0,2,0,0,0
325,Spoink,Psychic,,330,60,25,35,70,80,60,3,False,Thick Fat,Own Tempo,Gluttony,Spoink,0,0,0,0,1,0
326,Grumpig,Psychic,,470,80,45,65,90,110,80,3,False,Thick Fat,Own Tempo,Gluttony,Groret,0,0,0,0,2,0
327,Spinda,Normal,,360,60,60,60,60,60,60,3,False,Own Tempo,Tangled Feet,Contrary,Spinda,0,0,0,1,0,0
328,Trapinch,Ground,,290,45,100,45,45,45,10,3,False,Hyper Cutter,Arena Trap,Sheer Force,Kraknoix,0,1,0,0,0,0
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,False,Levitate,,,Vibraninf,0,1,0,0,0,1
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False,Levitate,,,Libégon,0,1,0,0,0,2
331,Cacnea,Grass,,335,50,85,40,85,40,35,3,False,Sand Veil,,Water Absorb,Cacnea,0,0,0,1,0,0
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,False,Sand Veil,,Water Absorb,Cacturne,0,1,0,1,0,0
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,False,Natural Cure,,Cloud Nine,Tylton,0,0,0,0,1,0
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,False,Natural Cure,,Cloud Nine,Altaria,0,0,0,0,2,0
335,Zangoose,Normal,,458,73,115,60,60,60,90,3,False,Immunity,,Toxic Boost,Mangriff,0,2,0,0,0,0
336,Seviper,Poison,,458,73,100,60,100,60,65,3,False,Shed Skin,,Infiltrator,Séviper,0,1,0,1,0,0
337,Lunatone,Rock,Psychic,460,90,55,65,95,85,70,3,False,Levitate,,,Séléroc,0,0,0,2,0,0
338,Solrock,Rock,Psychic,460,90,95,85,55,65,70,3,False,Levitate,,,Solaroc,0,2,0,0,0,0
339,Barboach,Water,Ground,288,50,48,43,46,41,60,3,False,Oblivious,Anticipation,Hydration,Barloche,1,0,0,0,0,0
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False,Oblivious,Anticipation,Hydration,Barbicha,2,0,0,0,0,0
341,Corphish,Water,,308,43,80,65,50,35,35,3,False,Hyper Cutter,Shell Armor,Adaptability,Écrapince,0,1,0,0,0,0
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,False,Hyper Cutter,Shell Armor,Adaptability,Colhomard,0,2,0,0,0,0
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,False,Levitate,,,Balbuto,0,0,0,0,1,0
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False,Levitate,,,Kaorine,0,0,0,0,2,0
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,False,Suction Cups,,Storm Drain,Lilia,0,0,0,0,1,0
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,False,Suction Cups,,Storm Drain,Vacilys,0,0,0,0,2,0
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,False,Battle Armor,,Swift Swim,Anorith,0,1,0,0,0,0
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,False,Battle Armor,,Swift Swim,Armaldo,0,2,0,0,0,0
349,Feebas,Water,,200,20,15,20,10,55,80,3,False,Swift Swim,Oblivious,Adaptability,Barpau,0,0,0,0,0,1
350,Milotic,Water,,540,95,60,79,100,125,81,3,False,Marvel Scale,Competitive,Cute Charm,Milobellus,0,0,0,0,2,0
351,Castform,Normal,,420,70,70,70,70,70,70,3,False,Forecast,,,Morphéo,1,0,0,0,0,0
352,Kecleon,Normal,,440,60,90,70,60,120,40,3,False,Color Change,,Protean,Kecleon,0,0,0,0,1,0
353,Shuppet,Ghost,,295,44,75,35,63,33,45,3,False,Insomnia,Frisk,Cursed Body,Polichombr,0,1,0,0,0,0
354,Banette,Ghost,,455,64,115,65,83,63,65,3,False,Insomnia,Frisk,Cursed Body,Branette,0,2,0,0,0,0
355,Duskull,Ghost,,295,20,40,90,30,90,25,3,False,Levitate,,Frisk,Skelénox,0,0,0,0,1,0
356,Dusclops,Ghost,,455,40,70,130,60,130,25,3,False,Pressure,,Frisk,Téraclope,0,0,1,0,1,0
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,False,Chlorophyll,Solar Power,Harvest,Tropius,2,0,0,0,0,0
358,Chimecho,Psychic,,455,75,50,80,95,90,65,3,False,Levitate,,,Éoko,0,0,0,1,1,0
359,Absol,Dark,,465,65,130,60,75,60,75,3,False,Pressure,Super Luck,Justified,Absol,0,2,0,0,0,0
360,Wynaut,Psychic,,260,95,23,48,23,48,23,3,False,Shadow Tag,,Telepathy,Okéoké,1,0,0,0,0,0
361,Snorunt,Ice,,300,50,50,50,50,50,50,3,False,Inner Focus,Ice Body,Moody,Stalgamin,1,0,0,0,0,0
362,Glalie,Ice,,480,80,80,80,80,80,80,3,False,Inner Focus,Ice Body,Moody,Oniglali,2,0,0,0,0,0
363,Spheal,Ice,Water,290,70,40,50,55,50,25,3,False,Thick Fat,Ice Body,Oblivious,Obalie,1,0,0,0,0,0
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,3,False,Thick Fat,Ice Body,Oblivious,Phogleur,2,0,0,0,0,0
365,Walrein,Ice,Water,530,110,80,90,95,90,65,3,False,Thick Fat,Ice Body,Oblivious,Kaimorse,3,0,0,0,0,0
366,Clamperl,Water,,345,35,64,85,74,55,32,3,False,Shell Armor,,Rattled,Coquiperl,0,0,1,0,0,0
367,Huntail,Water,,485,55,104,105,94,75,52,3,False,Swift Swim,,Water Veil,Serpang,0,1,1,0,0,0
368,Gorebyss,Water,,485,55,84,105,114,75,52,3,False,Swift Swim,,Hydration,Rosabyss,0,0,0,2,0,0
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,False,Swift Swim,Rock Head,Sturdy,Relicanth,1,0,1,0,0,0
370,Luvdisc,Water,,330,43,30,55,40,65,97,3,False,Swift Swim,,Hydration,Lovdisc,0,0,0,0,0,1
371,Bagon,Dragon,,300,45,75,60,40,30,50,3,False,Rock Head,,Sheer Force,Draby,0,1,0,0,0,0
372,Shelgon,Dragon,,420,65,95,100,60,50,50,3,False,Rock Head,,Overcoat,Drackhaus,0,0,2,0,0,0
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False,Intimidate,,Moxie,Drattak,0,3,0,0,0,0
374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,False,Clear Body,,Light Metal,Terhal,0,0,1,0,0,0
375,Metang,Steel,Psychic,420,60,75,100,55,80,50,3,False,Clear Body,,Light Metal,Métang,0,0,2,0,0,0
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False,Clear Body,,Light Metal,Métalosse,0,0,3,0,0,0
377,Regirock,Rock,,580,80,100,200,50,100,50,3,True,Clear Body,,Sturdy,Regirock,0,0,3,0,0,0
378,Regice,Ice,,580,80,50,100,100,200,50,3,True,Clear Body,,Ice Body,Regice,0,0,0,0,3,0
379,Registeel,Steel,,580,80,75,150,75,150,50,3,True,Clear Body,,Light Metal,Registeel,0,0,2,0,1,0
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,True,Levitate,,,Latias,0,0,0,0,3,0
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,True,Levitate,,,Latios,0,0,0,3,0,0
382,Kyogre,Water,,670,100,100,90,150,140,90,3,True,Drizzle,,,Kyogre,0,0,0,3,0,0
383,Groudon,Ground,,670,100,150,140,100,90,90,3,True,Drought,,,Groudon,0,3,0,0,0,0
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,True,Air Lock,,,Rayquaza,0,2,0,1,0,0
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,False,Serene Grace,,,Jirachi,3,0,0,0,0,0
386,Deoxys,Psychic,,600,50,150,50,150,50,150,3,False,Pressure,,,Deoxys,0,1,0,1,0,1
387,Turtwig,Grass,,318,55,68,64,45,55,31,4,False,Overgrow,,Shell Armor,Tortipouss,0,1,0,0,0,0
388,Grotle,Grass,,405,75,89,85,55,65,36,4,False,Overgrow,,Shell Armor,Boskara,0,1,1,0,0,0
389,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,False,Overgrow,,Shell Armor,Torterra,0,2,1,0,0,0
390,Chimchar,Fire,,309,44,58,44,58,44,61,4,False,Blaze,,Iron Fist,Ouisticram,0,0,0,0,0,1
391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,False,Blaze,,Iron Fist,Chimpenfeu,0,0,0,1,0,1
392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,False,Blaze,,Iron Fist,Simiabraz,0,1,0,1,0,1
393,Piplup,Water,,314,53,51,53,61,56,40,4,False,Torrent,,Competitive,Tiplouf,0,0,0,1,0,0
394,Prinplup,Water,,405,64,66,68,81,76,50,4,False,Torrent,,Competitive,Prinplouf,0,0,0,2,0,0
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,False,Torrent,,Competitive,Pingoléon,0,0,0,3,0,0
396,Starly,Normal,Flying,245,40,55,30,30,30,60,4,False,Keen Eye,,Reckless,Étourmi,0,0,0,0,0,1
397,Staravia,Normal,Flying,340,55,75,50,40,40,80,4,False,Intimidate,,Reckless,Étourvol,0,0,0,0,0,2
398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,False,Intimidate,,Reckless,Étouraptor,0,3,0,0,0,0
399,Bidoof,Normal,,250,59,45,40,35,40,31,4,False,Simple,Unaware,Moody,Keunotor,1,0,0,0,0,0
400,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,False,Simple,Unaware,Moody,Castorno,0,2,0,0,0,0
401,Kricketot,Bug,,194,37,25,41,25,41,25,4,False,Shed Skin,,Run Away,Crikzik,0,0,1,0,0,0
402,Kricketune,Bug,,384,77,85,51,55,51,65,4,False,Swarm,,Technician,Mélokrik,0,2,0,0,0,0
403,Shinx,Electric,,263,45,65,34,40,34,45,4,False,Rivalry,Intimidate,Guts,Lixy,0,1,0,0,0,0
404,Luxio,Electric,,363,60,85,49,60,49,60,4,False,Rivalry,Intimidate,Guts,Luxio,0,2,0,0,0,0
405,Luxray,Electric,,523,80,120,79,95,79,70,4,False,Rivalry,Intimidate,Guts,Luxray,0,3,0,0,0,0
406,Budew,Grass,Poison,280,40,30,35,50,70,55,4,False,Natural Cure,Poison Point,Leaf Guard,Rozbouton,0,0,0,1,0,0
407,Roserade,Grass,Poison,515,60,70,65,125,105,90,4,False,Natural Cure,Poison Point,Technician,Roserade,0,0,0,3,0,0
408,Cranidos,Rock,,350,67,125,40,30,30,58,4,False,Mold Breaker,,Sheer Force,Kranidos,0,1,0,0,0,0
409,Rampardos,Rock,,495,97,165,60,65,50,58,4,False,Mold Breaker,,Sheer Force,Charkos,0,2,0,0,0,0
410,Shieldon,Rock,Steel,350,30,42,118,42,88,30,4,False,Sturdy,,Soundproof,Dinoclier,0,0,1,0,0,0
411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,False,Sturdy,,Soundproof,Bastiodon,0,0,2,0,0,0
412,Burmy,Bug,,224,40,29,45,29,45,36,4,False,Shed Skin,,Overcoat,Cheniti,0,0,0,0,1,0
413,Wormadam,Bug,Grass,424,60,59,85,79,105,36,4,False,Anticipation,,Overcoat,Cheniselle,0,0,0,0,2,0
414,Mothim,Bug,Flying,424,70,94,50,94,50,66,4,False,Swarm,,Tinted Lens,Papilord,0,1,0,1,0,0
415,Combee,Bug,Flying,244,30,30,42,30,42,70,4,False,Honey Gather,,Hustle,Apitrini,0,0,0,0,0,1
416,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,4,False,Pressure,,Unnerve,Apireine,0,0,1,0,1,0
417,Pachirisu,Electric,,405,60,45,70,45,90,95,4,False,Run Away,Pickup,Volt Absorb,Pachirisu,0,0,0,0,0,1
418,Buizel,Water,,330,55,65,35,60,30,85,4,False,Swift Swim,,Water Veil,Mustébouée,0,0,0,0,0,1
419,Floatzel,Water,,495,85,105,55,85,50,115,4,False,Swift Swim,,Water Veil,Mustéflott,0,0,0,0,0,2
